centroid_75,classification
ERR10897572.mbin.3_00002,Mixed
ERR10897572.mbin.3_00003,Mixed
ERR10897572.mbin.3_00004,Mixed
ERR10897572.mbin.3_00005,Mixed
ERR10897572.mbin.3_00007,Mixed
ERR10897572.mbin.3_00008,Mixed
ERR10897572.mbin.3_00009,Mixed
ERR10897572.mbin.3_00011,Mixed
ERR10897572.mbin.3_00014,Mixed
ERR10897572.mbin.3_00015,Mixed
ERR10897572.mbin.3_00017,Mixed
ERR10897572.mbin.3_00019,Mixed
ERR10897572.mbin.3_00021,Mixed
ERR10897572.mbin.3_00022,Mixed
ERR10897572.mbin.3_00025,Mixed
ERR10897572.mbin.3_00026,Mixed
ERR10897572.mbin.3_00027,Mixed
ERR10897572.mbin.3_00029,Mixed
ERR10897572.mbin.3_00030,Mixed
ERR10897572.mbin.3_00032,Mixed
ERR10897572.mbin.3_00033,Mixed
ERR10897572.mbin.3_00034,Mixed
ERR10897572.mbin.3_00035,Mixed
ERR10897572.mbin.3_00037,Mixed
ERR10897572.mbin.3_00039,Mixed
ERR10897572.mbin.3_00045,Mixed
ERR10897572.mbin.3_00046,Mixed
ERR10897572.mbin.3_00048,Mixed
ERR10897572.mbin.3_00050,Mixed
ERR10897572.mbin.3_00054,Mixed
ERR10897572.mbin.3_00055,Mixed
ERR10897572.mbin.3_00056,Mixed
ERR10897572.mbin.3_00059,Mixed
ERR10897572.mbin.3_00060,Mixed
ERR10897572.mbin.3_00062,Mixed
ERR10897572.mbin.3_00063,Mixed
ERR10897572.mbin.3_00064,Mixed
ERR10897572.mbin.3_00067,Mixed
ERR10897572.mbin.3_00068,Mixed
ERR10897572.mbin.3_00070,Mixed
ERR10897572.mbin.3_00071,Mixed
ERR10897572.mbin.3_00072,Mixed
ERR10897572.mbin.3_00076,Mixed
ERR10897572.mbin.3_00078,Mixed
ERR10897572.mbin.3_00079,Mixed
ERR10897572.mbin.3_00080,Mixed
ERR10897572.mbin.3_00081,Mixed
ERR10897572.mbin.3_00082,Mixed
ERR10897572.mbin.3_00086,Mixed
ERR10897572.mbin.3_00088,Mixed
ERR10897572.mbin.3_00090,Mixed
ERR10897572.mbin.3_00091,Mixed
ERR10897572.mbin.3_00093,Mixed
ERR10897572.mbin.3_00094,Mixed
ERR10897572.mbin.3_00095,Mixed
ERR10897572.mbin.3_00097,Mixed
ERR10897572.mbin.3_00102,Mixed
ERR10897572.mbin.3_00103,Mixed
ERR10897572.mbin.3_00104,Mixed
ERR10897572.mbin.3_00110,Mixed
ERR10897572.mbin.3_00111,Mixed
ERR10897572.mbin.3_00114,Mixed
ERR10897572.mbin.3_00117,Mixed
ERR10897572.mbin.3_00121,Mixed
ERR10897572.mbin.3_00124,Mixed
ERR10897572.mbin.3_00126,Mixed
ERR10897572.mbin.3_00127,Mixed
ERR10897572.mbin.3_00129,Mixed
ERR10897572.mbin.3_00130,Mixed
ERR10897572.mbin.3_00132,Mixed
ERR10897572.mbin.3_00135,Mixed
ERR10897572.mbin.3_00139,Mixed
ERR10897572.mbin.3_00142,Mixed
ERR10897572.mbin.3_00148,Mixed
ERR10897572.mbin.3_00149,Mixed
ERR10897572.mbin.3_00150,Mixed
ERR10897572.mbin.3_00151,Mixed
ERR10897572.mbin.3_00156,Mixed
ERR10897572.mbin.3_00157,Mixed
ERR10897572.mbin.3_00161,Mixed
ERR10897572.mbin.3_00164,Mixed
ERR10897572.mbin.3_00172,Mixed
ERR10897572.mbin.3_00173,Mixed
ERR10897572.mbin.3_00181,Mixed
ERR10897572.mbin.3_00182,Mixed
ERR10897572.mbin.3_00183,Mixed
ERR10897572.mbin.3_00189,Mixed
