centroid_75,classification
ERR10897591.mbin.10_00009,Mixed
ERR10897591.mbin.10_00013,Mixed
ERR10897591.mbin.10_00016,Mixed
ERR10897591.mbin.10_00018,Mixed
ERR10897591.mbin.10_00020,Mixed
ERR10897591.mbin.10_00022,Mixed
ERR10897591.mbin.10_00023,Mixed
ERR10897591.mbin.10_00025,Mixed
ERR10897591.mbin.10_00026,Mixed
ERR10897591.mbin.10_00027,Mixed
ERR10897591.mbin.10_00031,Mixed
ERR10897591.mbin.10_00032,Mixed
ERR10897591.mbin.10_00034,Mixed
ERR10897591.mbin.10_00035,Mixed
ERR10897591.mbin.10_00036,Mixed
ERR10897591.mbin.10_00042,Mixed
ERR10897591.mbin.10_00047,Mixed
ERR10897591.mbin.10_00054,Mixed
ERR10897591.mbin.10_00056,Mixed
ERR10897591.mbin.10_00059,Mixed
ERR10897591.mbin.10_00062,Mixed
ERR10897591.mbin.10_00066,Mixed
ERR10897591.mbin.10_00067,Mixed
ERR10897591.mbin.10_00070,Mixed
ERR10897591.mbin.10_00074,Mixed
ERR10897591.mbin.10_00081,Mixed
ERR10897591.mbin.10_00083,Mixed
ERR10897591.mbin.10_00084,Mixed
ERR10897591.mbin.10_00094,VMGC
ERR10897591.mbin.10_00095,VMGC
ERR10897591.mbin.10_00097,VMGC
ERR10897591.mbin.10_00099,Mixed
ERR10897591.mbin.10_00111,Mixed
ERR10897591.mbin.10_00112,Mixed
ERR10897591.mbin.10_00120,Mixed
ERR10897591.mbin.10_00121,Mixed
ERR10897591.mbin.10_00127,Mixed
ERR10897591.mbin.10_00131,Mixed
ERR10897591.mbin.10_00132,Mixed
ERR10897591.mbin.10_00133,Mixed
ERR10897591.mbin.10_00137,Mixed
ERR10897591.mbin.10_00141,Mixed
ERR10897591.mbin.10_00145,Mixed
ERR10897591.mbin.10_00147,Mixed
ERR10897591.mbin.10_00150,Mixed
ERR10897591.mbin.10_00153,Mixed
ERR10897591.mbin.10_00154,Mixed
ERR10897591.mbin.10_00163,Mixed
ERR10897591.mbin.10_00167,Mixed
ERR10897591.mbin.10_00171,Mixed
ERR10897591.mbin.10_00173,Mixed
ERR10897591.mbin.10_00174,Mixed
ERR10897591.mbin.10_00175,Mixed
ERR10897591.mbin.10_00178,Mixed
ERR10897591.mbin.10_00179,Mixed
ERR10897591.mbin.10_00186,Mixed
ERR10897591.mbin.10_00192,VMGC
ERR10897591.mbin.10_00193,VMGC
ERR10897591.mbin.10_00196,Mixed
ERR10897591.mbin.10_00197,Mixed
ERR10897591.mbin.10_00202,Mixed
ERR10897591.mbin.10_00203,Mixed
ERR10897591.mbin.10_00204,Mixed
ERR10897591.mbin.10_00210,Mixed
ERR10897591.mbin.10_00211,Mixed
ERR10897591.mbin.10_00212,Mixed
ERR10897591.mbin.10_00217,Mixed
ERR10897591.mbin.10_00222,Mixed
ERR10897591.mbin.10_00226,Mixed
ERR10897591.mbin.10_00227,Mixed
ERR10897591.mbin.10_00229,Mixed
ERR10897591.mbin.10_00230,Mixed
ERR10897591.mbin.10_00231,Mixed
ERR10897591.mbin.10_00234,Mixed
ERR10897591.mbin.10_00235,Mixed
ERR10897591.mbin.10_00236,Mixed
ERR10897591.mbin.10_00240,Mixed
ERR10897591.mbin.10_00241,Mixed
ERR10897591.mbin.10_00242,Mixed
ERR10897591.mbin.10_00243,Mixed
ERR10897591.mbin.10_00246,Mixed
ERR10897591.mbin.10_00248,Mixed
ERR10897591.mbin.10_00256,Mixed
ERR10897591.mbin.10_00257,Mixed
ERR10897591.mbin.10_00259,Mixed
ERR10897591.mbin.10_00264,Mixed
ERR10897591.mbin.10_00265,Mixed
ERR10897591.mbin.10_00266,Mixed
ERR10897591.mbin.10_00268,Mixed
ERR10897591.mbin.10_00270,Mixed
ERR10897591.mbin.10_00273,Mixed
ERR10897591.mbin.10_00274,Mixed
ERR10897591.mbin.10_00276,Mixed
ERR10897591.mbin.10_00277,Mixed
ERR10897591.mbin.10_00278,Mixed
ERR10897591.mbin.10_00280,Mixed
ERR10897591.mbin.10_00281,Mixed
ERR10897591.mbin.10_00282,Mixed
ERR10897591.mbin.10_00284,Mixed
ERR10897591.mbin.10_00285,Mixed
ERR10897591.mbin.10_00286,Mixed
ERR10897591.mbin.10_00288,Mixed
ERR10897591.mbin.10_00290,Mixed
ERR10897591.mbin.10_00292,Mixed
ERR10897591.mbin.10_00301,Mixed
ERR10897591.mbin.10_00303,Mixed
ERR10897591.mbin.10_00304,Mixed
ERR10897591.mbin.10_00305,Mixed
ERR10897591.mbin.10_00306,Mixed
ERR10897591.mbin.10_00307,Mixed
ERR10897591.mbin.10_00308,Mixed
ERR10897591.mbin.10_00312,Mixed
ERR10897591.mbin.10_00315,Mixed
ERR10897591.mbin.10_00322,Mixed
ERR10897591.mbin.10_00323,Mixed
ERR10897591.mbin.10_00325,Mixed
ERR10897591.mbin.10_00326,Mixed
ERR10897591.mbin.10_00327,Mixed
ERR10897591.mbin.10_00330,Mixed
ERR10897591.mbin.10_00333,Mixed
ERR10897591.mbin.10_00334,Mixed
ERR10897591.mbin.10_00338,Mixed
ERR10897591.mbin.10_00339,Mixed
ERR10897591.mbin.10_00343,Mixed
ERR10897591.mbin.10_00345,Mixed
ERR10897591.mbin.10_00346,Mixed
ERR10897591.mbin.10_00355,Mixed
ERR10897591.mbin.10_00356,Mixed
ERR10897591.mbin.10_00357,Mixed
ERR10897591.mbin.10_00362,Mixed
ERR10897591.mbin.10_00363,Mixed
ERR10897591.mbin.10_00367,Mixed
