centroid_75,classification
ERR10897611.sbin.1_00002,Mixed
ERR10897611.sbin.1_00004,Mixed
ERR10897611.sbin.1_00005,Mixed
ERR10897611.sbin.1_00006,Mixed
ERR10897611.sbin.1_00009,Mixed
ERR10897611.sbin.1_00011,Mixed
ERR10897611.sbin.1_00014,Mixed
ERR10897611.sbin.1_00017,Mixed
ERR10897611.sbin.1_00021,Mixed
ERR10897611.sbin.1_00024,Mixed
ERR10897611.sbin.1_00025,Mixed
ERR10897611.sbin.1_00026,Mixed
ERR10897611.sbin.1_00028,Mixed
ERR10897611.sbin.1_00029,Mixed
ERR10897611.sbin.1_00030,Mixed
ERR10897611.sbin.1_00032,Mixed
ERR10897611.sbin.1_00033,Mixed
ERR10897611.sbin.1_00034,Mixed
ERR10897611.sbin.1_00035,Mixed
ERR10897611.sbin.1_00036,Mixed
ERR10897611.sbin.1_00037,Mixed
ERR10897611.sbin.1_00038,Mixed
ERR10897611.sbin.1_00041,Mixed
ERR10897611.sbin.1_00042,Mixed
ERR10897611.sbin.1_00043,Mixed
ERR10897611.sbin.1_00046,Mixed
ERR10897611.sbin.1_00047,Mixed
ERR10897611.sbin.1_00048,Mixed
ERR10897611.sbin.1_00049,Mixed
ERR10897611.sbin.1_00052,Mixed
ERR10897611.sbin.1_00055,Mixed
ERR10897611.sbin.1_00058,Mixed
ERR10897611.sbin.1_00059,Mixed
ERR10897611.sbin.1_00060,Mixed
ERR10897611.sbin.1_00061,Mixed
ERR10897611.sbin.1_00062,Mixed
ERR10897611.sbin.1_00063,Mixed
ERR10897611.sbin.1_00066,Mixed
ERR10897611.sbin.1_00067,Mixed
ERR10897611.sbin.1_00068,Mixed
ERR10897611.sbin.1_00071,Mixed
ERR10897611.sbin.1_00072,Mixed
ERR10897611.sbin.1_00076,Mixed
ERR10897611.sbin.1_00077,Mixed
ERR10897611.sbin.1_00079,Mixed
ERR10897611.sbin.1_00080,Mixed
ERR10897611.sbin.1_00081,Mixed
ERR10897611.sbin.1_00082,Mixed
ERR10897611.sbin.1_00084,Mixed
ERR10897611.sbin.1_00086,Mixed
ERR10897611.sbin.1_00089,Mixed
ERR10897611.sbin.1_00090,Mixed
ERR10897611.sbin.1_00093,Mixed
ERR10897611.sbin.1_00095,Mixed
ERR10897611.sbin.1_00096,Mixed
ERR10897611.sbin.1_00097,Mixed
ERR10897611.sbin.1_00099,Mixed
ERR10897611.sbin.1_00100,Mixed
ERR10897611.sbin.1_00101,Mixed
ERR10897611.sbin.1_00104,Mixed
ERR10897611.sbin.1_00105,Mixed
ERR10897611.sbin.1_00107,Mixed
ERR10897611.sbin.1_00108,Mixed
ERR10897611.sbin.1_00110,Mixed
ERR10897611.sbin.1_00111,Mixed
ERR10897611.sbin.1_00115,Mixed
ERR10897611.sbin.1_00118,Mixed
ERR10897611.sbin.1_00119,Mixed
ERR10897611.sbin.1_00120,Mixed
ERR10897611.sbin.1_00121,Mixed
ERR10897611.sbin.1_00122,Mixed
ERR10897611.sbin.1_00124,Mixed
ERR10897611.sbin.1_00130,Mixed
ERR10897611.sbin.1_00131,Mixed
ERR10897611.sbin.1_00134,Mixed
ERR10897611.sbin.1_00135,Mixed
ERR10897611.sbin.1_00139,Mixed
ERR10897611.sbin.1_00140,Mixed
ERR10897611.sbin.1_00141,Mixed
ERR10897611.sbin.1_00142,Mixed
ERR10897611.sbin.1_00143,Mixed
ERR10897611.sbin.1_00144,Mixed
ERR10897611.sbin.1_00146,Mixed
ERR10897611.sbin.1_00147,Mixed
ERR10897611.sbin.1_00148,Mixed
ERR10897611.sbin.1_00150,VMGC
ERR10897611.sbin.1_00151,Mixed
ERR10897611.sbin.1_00154,Mixed
ERR10897611.sbin.1_00155,Mixed
ERR10897611.sbin.1_00160,Mixed
ERR10897611.sbin.1_00161,Mixed
ERR10897611.sbin.1_00163,Mixed
ERR10897611.sbin.1_00165,Mixed
ERR10897611.sbin.1_00167,Mixed
ERR10897611.sbin.1_00168,Mixed
ERR10897611.sbin.1_00169,Mixed
ERR10897611.sbin.1_00170,Mixed
ERR10897611.sbin.1_00172,Mixed
ERR10897611.sbin.1_00173,Mixed
ERR10897611.sbin.1_00174,Mixed
ERR10897611.sbin.1_00175,VMGC
ERR10897611.sbin.1_00179,Mixed
ERR10897611.sbin.1_00183,Mixed
ERR10897611.sbin.1_00184,Mixed
ERR10897611.sbin.1_00185,Mixed
ERR10897611.sbin.1_00191,Mixed
ERR10897611.sbin.1_00192,Mixed
ERR10897611.sbin.1_00193,Mixed
ERR10897611.sbin.1_00194,Mixed
ERR10897611.sbin.1_00195,Mixed
ERR10897611.sbin.1_00197,Mixed
ERR10897611.sbin.1_00198,Mixed
ERR10897611.sbin.1_00199,Mixed
ERR10897611.sbin.1_00200,Mixed
ERR10897611.sbin.1_00201,Mixed
ERR10897611.sbin.1_00202,Mixed
ERR10897611.sbin.1_00204,Mixed
ERR10897611.sbin.1_00205,Mixed
ERR10897611.sbin.1_00208,Mixed
ERR10897611.sbin.1_00216,Mixed
ERR10897611.sbin.1_00217,Mixed
ERR10897611.sbin.1_00220,Mixed
ERR10897611.sbin.1_00221,Mixed
ERR10897611.sbin.1_00222,Mixed
ERR10897611.sbin.1_00226,Mixed
ERR10897611.sbin.1_00227,Mixed
ERR10897611.sbin.1_00228,Mixed
ERR10897611.sbin.1_00232,Mixed
ERR10897611.sbin.1_00234,Mixed
ERR10897611.sbin.1_00238,Mixed
ERR10897611.sbin.1_00239,Mixed
ERR10897611.sbin.1_00240,Mixed
ERR10897611.sbin.1_00241,Mixed
ERR10897611.sbin.1_00242,Mixed
ERR10897611.sbin.1_00244,Mixed
ERR10897611.sbin.1_00246,VMGC
ERR10897611.sbin.1_00248,VMGC
ERR10897611.sbin.1_00249,Mixed
ERR10897611.sbin.1_00251,Mixed
ERR10897611.sbin.1_00256,Mixed
ERR10897611.sbin.1_00259,Mixed
ERR10897611.sbin.1_00261,Mixed
ERR10897611.sbin.1_00264,Mixed
ERR10897611.sbin.1_00265,Mixed
ERR10897611.sbin.1_00266,Mixed
ERR10897611.sbin.1_00269,VMGC
ERR10897611.sbin.1_00271,VMGC
ERR10897611.sbin.1_00273,Mixed
