centroid_90,classification
ERR10897591.mbin.10_00004,Mixed
ERR10897591.mbin.10_00009,Mixed
ERR10897591.mbin.10_00013,Mixed
ERR10897591.mbin.10_00016,Mixed
ERR10897591.mbin.10_00018,Mixed
ERR10897591.mbin.10_00020,Mixed
ERR10897591.mbin.10_00022,Mixed
ERR10897591.mbin.10_00023,Mixed
ERR10897591.mbin.10_00025,Mixed
ERR10897591.mbin.10_00026,Mixed
ERR10897591.mbin.10_00027,Mixed
ERR10897591.mbin.10_00031,Mixed
ERR10897591.mbin.10_00032,Mixed
ERR10897591.mbin.10_00034,Mixed
ERR10897591.mbin.10_00035,Mixed
ERR10897591.mbin.10_00036,Mixed
ERR10897591.mbin.10_00042,Mixed
ERR10897591.mbin.10_00047,Mixed
ERR10897591.mbin.10_00049,Mixed
ERR10897591.mbin.10_00052,Mixed
ERR10897591.mbin.10_00054,Mixed
ERR10897591.mbin.10_00056,Mixed
ERR10897591.mbin.10_00057,Mixed
ERR10897591.mbin.10_00059,Mixed
ERR10897591.mbin.10_00062,Mixed
ERR10897591.mbin.10_00063,Mixed
ERR10897591.mbin.10_00066,Mixed
ERR10897591.mbin.10_00067,Mixed
ERR10897591.mbin.10_00069,Mixed
ERR10897591.mbin.10_00070,Mixed
ERR10897591.mbin.10_00074,Mixed
ERR10897591.mbin.10_00081,Mixed
ERR10897591.mbin.10_00083,Mixed
ERR10897591.mbin.10_00084,Mixed
ERR10897591.mbin.10_00094,VMGC
ERR10897591.mbin.10_00095,VMGC
ERR10897591.mbin.10_00097,VMGC
ERR10897591.mbin.10_00099,Mixed
ERR10897591.mbin.10_00111,Mixed
ERR10897591.mbin.10_00112,Mixed
ERR10897591.mbin.10_00117,VMGC
ERR10897591.mbin.10_00120,Mixed
ERR10897591.mbin.10_00121,Mixed
ERR10897591.mbin.10_00127,Mixed
ERR10897591.mbin.10_00131,Mixed
ERR10897591.mbin.10_00132,Mixed
ERR10897591.mbin.10_00133,Mixed
ERR10897591.mbin.10_00137,Mixed
ERR10897591.mbin.10_00141,Mixed
ERR10897591.mbin.10_00145,Mixed
ERR10897591.mbin.10_00147,Mixed
ERR10897591.mbin.10_00150,Mixed
ERR10897591.mbin.10_00153,Mixed
ERR10897591.mbin.10_00154,Mixed
ERR10897591.mbin.10_00156,Mixed
ERR10897591.mbin.10_00160,Mixed
ERR10897591.mbin.10_00161,Mixed
ERR10897591.mbin.10_00162,Mixed
ERR10897591.mbin.10_00163,Mixed
ERR10897591.mbin.10_00164,Mixed
ERR10897591.mbin.10_00167,Mixed
ERR10897591.mbin.10_00171,Mixed
ERR10897591.mbin.10_00172,Mixed
ERR10897591.mbin.10_00173,Mixed
ERR10897591.mbin.10_00174,Mixed
ERR10897591.mbin.10_00175,Mixed
ERR10897591.mbin.10_00178,Mixed
ERR10897591.mbin.10_00179,Mixed
ERR10897591.mbin.10_00186,Mixed
ERR10897591.mbin.10_00192,VMGC
ERR10897591.mbin.10_00193,VMGC
ERR10897591.mbin.10_00196,Mixed
ERR10897591.mbin.10_00197,Mixed
ERR10897591.mbin.10_00202,VMGC
ERR10897591.mbin.10_00203,VMGC
ERR10897591.mbin.10_00204,VMGC
ERR10897591.mbin.10_00210,Mixed
ERR10897591.mbin.10_00211,Mixed
ERR10897591.mbin.10_00212,Mixed
ERR10897591.mbin.10_00215,Mixed
ERR10897591.mbin.10_00216,Mixed
ERR10897591.mbin.10_00217,Mixed
ERR10897591.mbin.10_00222,Mixed
ERR10897591.mbin.10_00223,Mixed
ERR10897591.mbin.10_00224,Mixed
ERR10897591.mbin.10_00226,Mixed
ERR10897591.mbin.10_00227,Mixed
ERR10897591.mbin.10_00229,Mixed
ERR10897591.mbin.10_00230,Mixed
ERR10897591.mbin.10_00231,Mixed
ERR10897591.mbin.10_00233,Mixed
ERR10897591.mbin.10_00234,Mixed
ERR10897591.mbin.10_00235,Mixed
ERR10897591.mbin.10_00236,Mixed
ERR10897591.mbin.10_00240,Mixed
ERR10897591.mbin.10_00241,Mixed
ERR10897591.mbin.10_00242,Mixed
ERR10897591.mbin.10_00243,Mixed
ERR10897591.mbin.10_00244,Mixed
ERR10897591.mbin.10_00245,Mixed
ERR10897591.mbin.10_00246,Mixed
ERR10897591.mbin.10_00248,Mixed
ERR10897591.mbin.10_00252,Mixed
ERR10897591.mbin.10_00256,Mixed
ERR10897591.mbin.10_00257,Mixed
ERR10897591.mbin.10_00259,VMGC
ERR10897591.mbin.10_00260,VMGC
ERR10897591.mbin.10_00264,Mixed
ERR10897591.mbin.10_00265,Mixed
ERR10897591.mbin.10_00266,Mixed
ERR10897591.mbin.10_00268,Mixed
ERR10897591.mbin.10_00270,Mixed
ERR10897591.mbin.10_00273,Mixed
ERR10897591.mbin.10_00274,Mixed
ERR10897591.mbin.10_00276,Mixed
ERR10897591.mbin.10_00277,Mixed
ERR10897591.mbin.10_00278,Mixed
ERR10897591.mbin.10_00280,Mixed
ERR10897591.mbin.10_00281,Mixed
ERR10897591.mbin.10_00282,Mixed
ERR10897591.mbin.10_00284,Mixed
ERR10897591.mbin.10_00285,Mixed
ERR10897591.mbin.10_00286,Mixed
ERR10897591.mbin.10_00288,Mixed
ERR10897591.mbin.10_00290,Mixed
ERR10897591.mbin.10_00292,Mixed
ERR10897591.mbin.10_00301,Mixed
ERR10897591.mbin.10_00303,Mixed
ERR10897591.mbin.10_00304,Mixed
ERR10897591.mbin.10_00305,Mixed
ERR10897591.mbin.10_00306,Mixed
ERR10897591.mbin.10_00307,Mixed
ERR10897591.mbin.10_00308,Mixed
ERR10897591.mbin.10_00311,Mixed
ERR10897591.mbin.10_00312,Mixed
ERR10897591.mbin.10_00315,Mixed
ERR10897591.mbin.10_00321,Mixed
ERR10897591.mbin.10_00322,Mixed
ERR10897591.mbin.10_00323,Mixed
ERR10897591.mbin.10_00325,Mixed
ERR10897591.mbin.10_00326,Mixed
ERR10897591.mbin.10_00327,Mixed
ERR10897591.mbin.10_00329,Mixed
ERR10897591.mbin.10_00330,Mixed
ERR10897591.mbin.10_00333,Mixed
ERR10897591.mbin.10_00334,Mixed
ERR10897591.mbin.10_00338,Mixed
ERR10897591.mbin.10_00339,Mixed
ERR10897591.mbin.10_00340,Mixed
ERR10897591.mbin.10_00343,Mixed
ERR10897591.mbin.10_00345,Mixed
ERR10897591.mbin.10_00346,Mixed
ERR10897591.mbin.10_00355,Mixed
ERR10897591.mbin.10_00356,Mixed
ERR10897591.mbin.10_00357,Mixed
ERR10897591.mbin.10_00362,Mixed
ERR10897591.mbin.10_00363,Mixed
ERR10897591.mbin.10_00367,Mixed
ERR10897591.mbin.10_00372,Mixed
ERR10897591.mbin.10_00373,Mixed
ERR10897591.mbin.10_00374,Mixed
ERR10897591.mbin.10_00375,Mixed
ERR10897591.mbin.10_00380,Mixed
ERR10897591.mbin.10_00385,Mixed
ERR10897591.mbin.10_00389,Mixed
ERR10897591.mbin.10_00392,Mixed
ERR10897591.mbin.10_00394,Mixed
ERR10897591.mbin.10_00397,Mixed
ERR10897591.mbin.10_00406,Mixed
ERR10897591.mbin.10_00409,Mixed
ERR10897591.mbin.10_00410,Mixed
ERR10897591.mbin.10_00411,Mixed
ERR10897591.mbin.10_00412,Mixed
ERR10897591.mbin.10_00413,Mixed
ERR10897591.mbin.10_00414,Mixed
ERR10897591.mbin.10_00416,Mixed
ERR10897591.mbin.10_00417,Mixed
ERR10897591.mbin.10_00418,Mixed
ERR10897591.mbin.10_00422,Mixed
ERR10897591.mbin.10_00423,Mixed
ERR10897591.mbin.10_00424,Mixed
ERR10897591.mbin.10_00429,Mixed
ERR10897591.mbin.10_00431,Mixed
ERR10897591.mbin.10_00432,Mixed
ERR10897591.mbin.10_00433,Mixed
ERR10897591.mbin.10_00434,Mixed
ERR10897591.mbin.10_00436,Mixed
ERR10897591.mbin.10_00439,Mixed
ERR10897591.mbin.10_00440,Mixed
ERR10897591.mbin.10_00447,Mixed
ERR10897591.mbin.10_00448,Mixed
ERR10897591.mbin.10_00453,Mixed
ERR10897591.mbin.10_00454,Mixed
ERR10897591.mbin.10_00455,Mixed
ERR10897591.mbin.10_00457,Mixed
ERR10897591.mbin.10_00458,Mixed
ERR10897591.mbin.10_00459,Mixed
ERR10897591.mbin.10_00461,Mixed
ERR10897591.mbin.10_00462,Mixed
ERR10897591.mbin.10_00467,Mixed
ERR10897591.mbin.10_00469,Mixed
ERR10897591.mbin.10_00471,Mixed
ERR10897591.mbin.10_00474,Mixed
ERR10897591.mbin.10_00476,Mixed
ERR10897591.mbin.10_00479,Mixed
ERR10897591.mbin.10_00480,Mixed
ERR10897591.mbin.10_00481,Mixed
ERR10897591.mbin.10_00482,Mixed
ERR10897591.mbin.10_00483,Mixed
ERR10897591.mbin.10_00484,Mixed
ERR10897591.mbin.10_00486,Mixed
ERR10897591.mbin.10_00487,Mixed
ERR10897591.mbin.10_00489,Mixed
ERR10897591.mbin.10_00492,Mixed
ERR10897591.mbin.10_00493,Mixed
ERR10897591.mbin.10_00494,Mixed
ERR10897591.mbin.10_00495,Mixed
ERR10897591.mbin.10_00497,Mixed
ERR10897591.mbin.10_00498,Mixed
ERR10897591.mbin.10_00500,Mixed
ERR10897591.mbin.10_00507,Mixed
ERR10897591.mbin.10_00509,Mixed
ERR10897591.mbin.10_00510,Mixed
ERR10897591.mbin.10_00517,Mixed
ERR10897591.mbin.10_00522,Mixed
ERR10897591.mbin.10_00526,Mixed
ERR10897591.mbin.10_00527,Mixed
ERR10897591.mbin.10_00528,Mixed
ERR10897591.mbin.10_00530,Mixed
ERR10897591.mbin.10_00537,Mixed
ERR10897591.mbin.10_00539,Mixed
ERR10897591.mbin.10_00541,Mixed
ERR10897591.mbin.10_00545,Mixed
ERR10897591.mbin.10_00548,Mixed
ERR10897591.mbin.10_00550,Mixed
ERR10897591.mbin.10_00557,Mixed
ERR10897591.mbin.10_00562,Mixed
ERR10897591.mbin.10_00565,Mixed
ERR10897591.mbin.10_00566,Mixed
ERR10897591.mbin.10_00569,Mixed
ERR10897591.mbin.10_00570,Mixed
ERR10897591.mbin.10_00571,Mixed
ERR10897591.mbin.10_00572,Mixed
ERR10897591.mbin.10_00573,Mixed
ERR10897591.mbin.10_00574,Mixed
ERR10897591.mbin.10_00578,Mixed
ERR10897591.mbin.10_00587,Mixed
ERR10897591.mbin.10_00588,Mixed
ERR10897591.mbin.10_00593,Mixed
ERR10897591.mbin.10_00595,Mixed
ERR10897591.mbin.10_00596,VMGC
ERR10897591.mbin.10_00598,Mixed
ERR10897591.mbin.10_00599,Mixed
ERR10897591.mbin.10_00600,Mixed
ERR10897591.mbin.10_00611,Mixed
ERR10897591.mbin.10_00612,Mixed
ERR10897591.mbin.10_00614,Mixed
ERR10897591.mbin.10_00618,Mixed
ERR10897591.mbin.10_00620,Mixed
ERR10897591.mbin.10_00624,Mixed
ERR10897591.mbin.10_00626,Mixed
ERR10897591.mbin.10_00628,Mixed
ERR10897591.mbin.10_00629,Mixed
ERR10897591.mbin.10_00633,Mixed
ERR10897591.mbin.10_00635,Mixed
ERR10897591.mbin.10_00636,Mixed
ERR10897591.mbin.10_00637,Mixed
ERR10897591.mbin.10_00638,Mixed
ERR10897591.mbin.10_00640,Mixed
ERR10897591.mbin.10_00643,Mixed
ERR10897591.mbin.10_00645,Mixed
