centroid_90,classification
ERR10897589.sbin.2_00001,Mixed
ERR10897589.sbin.2_00004,Mixed
ERR10897589.sbin.2_00005,Mixed
ERR10897589.sbin.2_00006,Mixed
ERR10897589.sbin.2_00007,Mixed
ERR10897589.sbin.2_00008,Mixed
ERR10897589.sbin.2_00010,Mixed
ERR10897589.sbin.2_00016,Mixed
ERR10897589.sbin.2_00017,Mixed
ERR10897589.sbin.2_00018,Mixed
ERR10897589.sbin.2_00023,Mixed
ERR10897589.sbin.2_00026,Mixed
ERR10897589.sbin.2_00029,Mixed
ERR10897589.sbin.2_00033,Mixed
ERR10897589.sbin.2_00034,Mixed
ERR10897589.sbin.2_00035,Mixed
ERR10897589.sbin.2_00036,Mixed
ERR10897589.sbin.2_00038,Mixed
ERR10897589.sbin.2_00039,Mixed
ERR10897589.sbin.2_00040,Mixed
ERR10897589.sbin.2_00041,Mixed
ERR10897589.sbin.2_00043,Mixed
ERR10897589.sbin.2_00046,Mixed
ERR10897589.sbin.2_00048,Mixed
ERR10897589.sbin.2_00049,Mixed
ERR10897589.sbin.2_00050,Mixed
ERR10897589.sbin.2_00053,Mixed
ERR10897589.sbin.2_00054,Mixed
ERR10897589.sbin.2_00055,Mixed
ERR10897589.sbin.2_00056,Mixed
ERR10897589.sbin.2_00058,Mixed
ERR10897589.sbin.2_00059,Mixed
ERR10897589.sbin.2_00060,Mixed
ERR10897589.sbin.2_00063,Mixed
ERR10897589.sbin.2_00064,Mixed
ERR10897589.sbin.2_00065,Mixed
ERR10897589.sbin.2_00066,Mixed
ERR10897589.sbin.2_00071,Mixed
ERR10897589.sbin.2_00072,Mixed
ERR10897589.sbin.2_00073,Mixed
ERR10897589.sbin.2_00074,Mixed
ERR10897589.sbin.2_00077,Mixed
ERR10897589.sbin.2_00078,Mixed
ERR10897589.sbin.2_00080,Mixed
ERR10897589.sbin.2_00081,Mixed
ERR10897589.sbin.2_00082,Mixed
ERR10897589.sbin.2_00083,Mixed
ERR10897589.sbin.2_00084,Mixed
ERR10897589.sbin.2_00085,Mixed
ERR10897589.sbin.2_00087,Mixed
ERR10897589.sbin.2_00088,Mixed
