centroid_90,classification
ERR10897564.mbin.1_00002,Mixed
ERR10897564.mbin.1_00006,Mixed
ERR10897564.mbin.1_00009,Mixed
ERR10897564.mbin.1_00010,Mixed
ERR10897564.mbin.1_00011,Mixed
ERR10897564.mbin.1_00012,Mixed
ERR10897564.mbin.1_00013,Mixed
ERR10897564.mbin.1_00021,Mixed
ERR10897564.mbin.1_00024,Mixed
ERR10897564.mbin.1_00025,Mixed
ERR10897564.mbin.1_00028,Mixed
ERR10897564.mbin.1_00029,Mixed
ERR10897564.mbin.1_00031,Mixed
ERR10897564.mbin.1_00039,Mixed
ERR10897564.mbin.1_00041,Mixed
ERR10897564.mbin.1_00044,Mixed
ERR10897564.mbin.1_00045,Mixed
ERR10897564.mbin.1_00046,Mixed
ERR10897564.mbin.1_00048,Mixed
ERR10897564.mbin.1_00052,Mixed
ERR10897564.mbin.1_00057,Mixed
ERR10897564.mbin.1_00060,Mixed
ERR10897564.mbin.1_00062,Mixed
ERR10897564.mbin.1_00063,Mixed
ERR10897564.mbin.1_00066,Mixed
ERR10897564.mbin.1_00068,Mixed
ERR10897564.mbin.1_00069,Mixed
ERR10897564.mbin.1_00072,Mixed
ERR10897564.mbin.1_00073,Mixed
ERR10897564.mbin.1_00075,Mixed
ERR10897564.mbin.1_00076,Mixed
ERR10897564.mbin.1_00077,Mixed
ERR10897564.mbin.1_00078,Mixed
ERR10897564.mbin.1_00080,Mixed
ERR10897564.mbin.1_00081,Mixed
ERR10897564.mbin.1_00082,Mixed
ERR10897564.mbin.1_00084,Mixed
ERR10897564.mbin.1_00087,Mixed
ERR10897564.mbin.1_00090,Mixed
ERR10897564.mbin.1_00092,Mixed
ERR10897564.mbin.1_00093,Mixed
ERR10897564.mbin.1_00094,Mixed
ERR10897564.mbin.1_00097,Mixed
ERR10897564.mbin.1_00100,Mixed
ERR10897564.mbin.1_00101,Mixed
ERR10897564.mbin.1_00102,Mixed
ERR10897564.mbin.1_00103,Mixed
ERR10897564.mbin.1_00106,Mixed
ERR10897564.mbin.1_00108,Mixed
ERR10897564.mbin.1_00109,Mixed
ERR10897564.mbin.1_00110,Mixed
ERR10897564.mbin.1_00115,Mixed
ERR10897564.mbin.1_00118,Mixed
ERR10897564.mbin.1_00119,Mixed
ERR10897564.mbin.1_00124,Mixed
ERR10897564.mbin.1_00125,Mixed
ERR10897564.mbin.1_00134,Mixed
ERR10897564.mbin.1_00137,Mixed
ERR10897564.mbin.1_00139,Mixed
ERR10897564.mbin.1_00141,Mixed
ERR10897564.mbin.1_00142,Mixed
ERR10897564.mbin.1_00143,Mixed
ERR10897564.mbin.1_00145,Mixed
ERR10897564.mbin.1_00146,Mixed
ERR10897564.mbin.1_00148,Mixed
ERR10897564.mbin.1_00149,Mixed
ERR10897564.mbin.1_00152,Mixed
ERR10897564.mbin.1_00154,Mixed
ERR10897564.mbin.1_00155,Mixed
ERR10897564.mbin.1_00156,Mixed
ERR10897564.mbin.1_00164,Mixed
ERR10897564.mbin.1_00165,Mixed
ERR10897564.mbin.1_00166,Mixed
ERR10897564.mbin.1_00167,Mixed
ERR10897564.mbin.1_00169,Mixed
ERR10897564.mbin.1_00174,Mixed
ERR10897564.mbin.1_00175,Mixed
ERR10897564.mbin.1_00176,Mixed
ERR10897564.mbin.1_00177,Mixed
ERR10897564.mbin.1_00181,Mixed
ERR10897564.mbin.1_00183,Mixed
ERR10897564.mbin.1_00184,Mixed
ERR10897564.mbin.1_00185,Mixed
ERR10897564.mbin.1_00186,Mixed
ERR10897564.mbin.1_00187,Mixed
ERR10897564.mbin.1_00188,Mixed
ERR10897564.mbin.1_00189,Mixed
ERR10897564.mbin.1_00190,Mixed
ERR10897564.mbin.1_00192,Mixed
ERR10897564.mbin.1_00193,Mixed
ERR10897564.mbin.1_00195,Mixed
ERR10897564.mbin.1_00197,Mixed
ERR10897564.mbin.1_00199,Mixed
ERR10897564.mbin.1_00200,Mixed
ERR10897564.mbin.1_00203,Mixed
ERR10897564.mbin.1_00206,Mixed
ERR10897564.mbin.1_00208,Mixed
ERR10897564.mbin.1_00210,Mixed
ERR10897564.mbin.1_00219,Mixed
ERR10897564.mbin.1_00221,Mixed
ERR10897564.mbin.1_00223,Mixed
ERR10897564.mbin.1_00224,Mixed
ERR10897564.mbin.1_00226,Mixed
ERR10897564.mbin.1_00228,Mixed
ERR10897564.mbin.1_00231,Mixed
ERR10897564.mbin.1_00233,Mixed
ERR10897564.mbin.1_00237,Mixed
ERR10897564.mbin.1_00238,VMGC
